PLAYER_NAME,OPPONENT,H2H_GAMES,H2H_AVG_PTS,H2H_MEDIAN_PTS,H2H_STD_PTS,H2H_FG_PCT,H2H_TS_PCT,H2H_TS_VS_OVERALL,H2H_FGA_VS_OVERALL,H2H_MIN_VS_OVERALL,H2H_AVG_FGA,H2H_AVG_MIN,L3_H2H_AVG_PTS,L5_H2H_AVG_PTS,H2H_PTS_TREND,H2H_CURRENT_SEASON_AVG_PTS,H2H_GAMES_CURRENT_SEASON,H2H_HOME_AVG_PTS,H2H_AWAY_AVG_PTS,H2H_CONFIDENCE,H2H_SCORING_PROFILE,DAYS_SINCE_LAST_H2H
A.J. Lawson,BKN,2,7.5,7.5,7.78,0.4,0.4596,-0.1032,1.78,3.81,7.5,19.0,7.5,7.5,0.0,7.5,0,7.5,7.5,0.3164,VOLUME,362
A.J. Lawson,BOS,3,4.33,3.0,5.13,0.3333,0.4333,-0.1294,-0.72,-7.52,5.0,7.67,4.33,4.33,0.0,6.5,2,10.0,1.5,0.3631,MINUTES,84
A.J. Lawson,CHA,2,8.0,8.0,8.49,0.5,0.5814,0.0187,0.28,3.31,6.0,18.5,8.0,8.0,0.0,8.0,0,8.0,8.0,0.3141,MINUTES,359
A.J. Lawson,CHI,1,13.0,13.0,0.0,0.8333,0.9448,0.382,0.28,-2.19,6.0,13.0,13.0,13.0,0.0,13.0,0,13.0,13.0,0.46,MINUTES,367
A.J. Lawson,DAL,1,12.0,12.0,0.0,0.3,0.4747,-0.088,4.28,16.81,10.0,32.0,12.0,12.0,0.0,12.0,0,12.0,12.0,0.46,VOLUME,357
A.J. Lawson,DET,2,11.0,11.0,2.83,0.5,0.6892,0.1265,0.28,5.56,6.0,20.75,11.0,11.0,0.0,13.0,1,9.0,13.0,0.4382,MINUTES,3
A.J. Lawson,GSW,2,3.0,3.0,4.24,0.4,0.5102,-0.0525,-3.22,-4.69,2.5,10.5,3.0,3.0,0.0,6.0,1,3.0,3.0,0.2857,VOLUME,73
A.J. Lawson,IND,2,2.5,2.5,3.54,0.4,0.5,-0.0627,-3.22,-5.69,2.5,9.5,2.5,2.5,0.0,2.5,2,0.0,5.0,0.2857,VOLUME,54
A.J. Lawson,LAC,1,0.0,0.0,0.0,0.0,0.0,-0.5627,-3.72,-2.19,2.0,13.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.46,VOLUME,77
A.J. Lawson,LAL,1,5.0,5.0,0.0,0.3333,0.6443,0.0816,-2.72,-9.19,3.0,6.0,5.0,5.0,0.0,5.0,1,5.0,5.0,0.46,VOLUME,75
